session_id,session_type,speaker,input_text,emotion,conflict_type,response_type,privacy_level,ai_response,input_output
BM00001,personal,husband,I feel she doesn't really listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she doesn't really listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00002,personal,husband,I feel she doesn't really listen during serious talks.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she doesn't really listen during serious talks. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00003,personal,husband,I feel she doesn't really listen about how I feel.,sadness,communication gap,empathy,personal,Being overlooked is painful. Request a short pause and share one concrete need.,Input: I feel she doesn't really listen about how I feel. || Output: Being overlooked is painful. Request a short pause and share one concrete need.
BM00004,personal,husband,I feel she doesn't really listen when we disagree.,sadness,communication gap,empathy,personal,Your experience matters. Name one feeling and one request in a gentle tone.,Input: I feel she doesn't really listen when we disagree. || Output: Your experience matters. Name one feeling and one request in a gentle tone.
BM00005,personal,husband,I feel she doesn't really listen about us.,sadness,communication gap,empathy,personal,Hurt here makes sense. Invite her to listen for two minutes without fixing.,Input: I feel she doesn't really listen about us. || Output: Hurt here makes sense. Invite her to listen for two minutes without fixing.
BM00006,personal,husband,I feel she doesn't really listen when I open up.,sadness,communication gap,empathy,personal,"Unheard feelings build resentment. Try a soft start: one feeling, one need.","Input: I feel she doesn't really listen when I open up. || Output: Unheard feelings build resentment. Try a soft start: one feeling, one need."
BM00007,personal,husband,I feel she doesn't really listen in deeper conversations.,sadness,communication gap,empathy,personal,This is valid. Ask when a better time is and keep your message brief.,Input: I feel she doesn't really listen in deeper conversations. || Output: This is valid. Ask when a better time is and keep your message brief.
BM00008,personal,husband,I feel she doesn't really listen when I need support.,sadness,communication gap,empathy,personal,You deserve to be listened to. Use an I-statement and one clear ask.,Input: I feel she doesn't really listen when I need support. || Output: You deserve to be listened to. Use an I-statement and one clear ask.
BM00009,personal,husband,I feel she doesn't really listen before I finish my thought.,sadness,communication gap,empathy,personal,Pause the spiral. Say you want to feel understood before solving.,Input: I feel she doesn't really listen before I finish my thought. || Output: Pause the spiral. Say you want to feel understood before solving.
BM00010,personal,husband,I feel she doesn't really listen when I'm vulnerable.,sadness,communication gap,empathy,personal,"Try naming the impact: when I'm interrupted, I feel dismissed.","Input: I feel she doesn't really listen when I'm vulnerable. || Output: Try naming the impact: when I'm interrupted, I feel dismissed."
